#MJD mag magerr flux fluxerr
59079.2171045144 -0.3358552346 0.0311257497 1.3625175151 0.0390617842
59079.2171161021 -0.3444483882 0.0313689827 1.3733440659 0.0396798437
59079.2171276898 -0.3434247067 0.0313401783 1.3720498247 0.0396060478
59079.2171392775 -0.3905659939 0.0318837072 1.4329346929 0.0420809342
59079.2171508652 -0.3544952973 0.0316430921 1.3861113476 0.0403986819
59079.2171624529 -0.3434452813 0.0319090902 1.3720758253 0.0403257726
59079.2171740406 -0.3373826613 0.0317469063 1.36443567 0.0398974039
59079.2171856282 -0.3349285596 0.031999187 1.3613551037 0.040123659
59079.2171972159 -0.3395074672 0.0318118485 1.3671085105 0.0400573352
59079.2172088036 -0.3579172572 0.0316795032 1.3904869038 0.0405728418
59079.2172203913 -0.3208351421 0.0319793532 1.3437982057 0.03958165
59079.217231979 -0.364159876 0.0318048928 1.3985047648 0.04096831
59079.2172435667 -0.3289718937 0.0318241341 1.3539067626 0.0396858344
59079.2172551544 -0.3459239138 0.0311133169 1.375211722 0.0394099641
59079.217266742 -0.3492515253 0.0318568691 1.3794329961 0.040475653
59079.2172783297 -0.3512069551 0.0317198509 1.3819196175 0.0403742141
59079.2172899174 -0.3657215154 0.0317823585 1.4005177138 0.0409982095
59079.2173015051 -0.366905457 0.0313963004 1.402045742 0.0405443947
59079.2173130928 -0.3663745282 0.0313439978 1.4013603044 0.040457064
59079.2173246805 -0.3930767133 0.031592391 1.4362521285 0.0417929805
59079.2173362681 -0.3137817499 0.031133521 1.3350966309 0.038285216
59079.2173478558 -0.3407361112 0.0315613582 1.3686564375 0.0397869173
59079.2173594435 -0.3322645716 0.0311396555 1.3580189451 0.0389502092
59079.2173710312 -0.3006387207 0.0313741417 1.3190324754 0.0381168939
59079.2173826189 -0.367290119 0.0310968402 1.4025425563 0.0401719091
59079.2173942066 -0.332988372 0.0308543492 1.3589245633 0.038619078
59079.2174057943 -0.3673440703 0.03137966 1.4026122517 0.0405392793
59079.2174173819 -0.3279603345 0.0308800507 1.3526459415 0.0384726676
59079.2174289696 -0.366884111 0.0314992483 1.4020181775 0.0406765393
59079.2174405573 -0.3259799109 0.0315022784 1.3501809134 0.0391763609
59079.217452145 -0.3483636937 0.0313511012 1.3783054629 0.0398004919
59079.2174637327 -0.349209037 0.0312913186 1.3793790156 0.0397555386
59079.2174753204 -0.3335086653 0.0310245654 1.3595759266 0.0388507436
59079.2174869081 -0.3104599027 0.0310513365 1.3310180993 0.0380675057
59079.2174984957 -0.3422775817 0.0311729301 1.3706009632 0.0393530883
59079.2175100834 -0.3177675328 0.0309444031 1.3400068336 0.0381926053
59079.2175216711 -0.414630896 0.0315082955 1.4650497018 0.0425174716
