#MJD mag magerr flux fluxerr
59079.2174233451 2.6257918889 0.0153627723 0.0890601135 0.0012602102
59079.2174349264 2.6501054066 0.0154278603 0.0870879038 0.0012375242
59079.2174465077 2.6302421696 0.0155441347 0.0886958157 0.0012698717
59079.217458089 2.6291132002 0.0154476872 0.0887880913 0.0012633054
59079.2174696703 2.64459988 0.0154281598 0.0875306287 0.0012438395
59079.2174812515 2.6348297964 0.0154170206 0.0883218346 0.0012541766
59079.2174928328 2.6317933383 0.0152590204 0.0885691883 0.0012447997
59079.2175044141 2.6262446706 0.0153106577 0.0890229808 0.0012554116
59079.2175159954 2.6295079065 0.015512577 0.0887558193 0.0012681509
59079.2175275767 2.6484858887 0.0155231976 0.0872179038 0.0012470303
59079.217539158 2.6607157127 0.0156283184 0.0862409863 0.0012414125
59079.2175507392 2.6395836174 0.0154574036 0.0879359689 0.0012519681
59079.2175623205 2.6470421221 0.0155086367 0.0873339597 0.0012475183
59079.2175739018 2.626759936 0.0153561131 0.0889807425 0.0012585414
59079.2175854831 2.6221236616 0.0153402713 0.0893615175 0.0012626231
59079.2175970644 2.6387199199 0.0154209844 0.0880059493 0.0012500123
59079.2176086457 2.6446461443 0.0155741163 0.087526899 0.0012555532
59079.217620227 2.6491960211 0.0156413576 0.087160877 0.0012557009
59079.2176318082 2.6298715239 0.0153979038 0.0887260996 0.0012583549
59079.2176433895 2.6320731101 0.0153838977 0.0885463688 0.0012546636
59079.2176549708 2.6444815984 0.0155978063 0.087540165 0.0012576536
59079.2176665521 2.6394663978 0.0155299839 0.0879454632 0.0012579825
59079.2176781334 2.6431020261 0.0155861847 0.0876514671 0.0012583144
59079.2176897147 2.6395632864 0.0154711039 0.0879376155 0.0012531012
59079.217701296 2.6534999071 0.0155899103 0.086816053 0.0012466192
59079.2177128772 2.6357250512 0.0155420605 0.0882490379 0.0012633065
59079.2177244585 2.6315178669 0.0154966041 0.0885916628 0.0012645021
59079.2177360398 2.6426646073 0.0154889675 0.087686787 0.0012509697
59079.2177476211 2.6512734396 0.015550918 0.0869942652 0.0012460539
59079.2177592024 2.6374673776 0.0155879207 0.0881075346 0.0012650025
59079.2177707837 2.6358778724 0.0153973789 0.0882366174 0.0012513702
59079.2177823649 2.6478741314 0.015593491 0.0872670605 0.0012533832
59079.2177939462 2.6451276567 0.0154385283 0.0874880904 0.0012440705
59079.2178055275 2.6363561422 0.0154461999 0.0881977575 0.0012547851
59079.2178171088 2.6510937476 0.0155656924 0.0870086642 0.0012474441
59079.2178286901 2.6486826714 0.0156365391 0.0872020975 0.0012559077
59079.2178402714 2.6385166982 0.0155338363 0.0880224233 0.0012593957
